Date,Cents per litre in Toronto (Regular unleaded gasoline at self service filling stations)
Feb-90,50.8
Mar-90,53.1
Apr-90,51.7
May-90,53.9
Jun-90,55.2
Jul-90,55.9
Aug-90,55.9
Sep-90,56.5
Oct-90,60.1
Nov-90,64.3
Dec-90,62.1
Jan-91,56.3
Feb-91,51.7
Mar-91,52.5
Apr-91,50.2
May-91,54.4
Jun-91,57.4
Jul-91,56.9
Aug-91,54.9
Sep-91,55.6
Oct-91,51.4
Nov-91,53.2
Dec-91,51.3
Jan-92,51.9
Feb-92,49
Mar-92,48.6
Apr-92,48.8
May-92,51.5
Jun-92,53.1
Jul-92,56.6
Aug-92,54.3
Sep-92,53.1
Oct-92,54.1
Nov-92,55.5
Dec-92,52.5
Jan-93,53.1
Feb-93,52.7
Mar-93,50.9
Apr-93,51.3
May-93,52
Jun-93,53.4
Jul-93,50
Aug-93,50.2
Sep-93,52
Oct-93,51.2
Nov-93,49.6
Dec-93,47.3
Jan-94,46.2
Feb-94,48.9
Mar-94,48.6
Apr-94,49.4
May-94,50.5
Jun-94,51.6
Jul-94,52.8
Aug-94,52.4
Sep-94,49.9
Oct-94,48.8
Nov-94,51.1
Dec-94,47.9
Jan-95,48.8
Feb-95,50.4
Mar-95,49.9
Apr-95,52.3
May-95,56.3
Jun-95,57
Jul-95,54.3
Aug-95,51.3
Sep-95,53.4
Oct-95,52.2
Nov-95,50.2
Dec-95,52.1
Jan-96,53
Feb-96,51.8
Mar-96,55.2
Apr-96,58
May-96,59.6
Jun-96,56.6
Jul-96,55.8
Aug-96,55.6
Sep-96,56.4
Oct-96,56.7
Nov-96,57.6
Dec-96,57.2
Jan-97,56.7
Feb-97,57.5
Mar-97,56.3
Apr-97,55.6
May-97,56.2
Jun-97,55.6
Jul-97,54.3
Aug-97,59.4
Sep-97,57.1
Oct-97,57
Nov-97,55.1
Dec-97,52.9
Jan-98,51.4
Feb-98,52.4
Mar-98,50.3
Apr-98,50.9
May-98,52.2
Jun-98,52.9
Jul-98,51.2
Aug-98,51.4
Sep-98,51.7
Oct-98,53.4
Nov-98,52.2
Dec-98,49.2
Jan-99,50.2
Feb-99,48.6
Mar-99,52.4
Apr-99,55.5
May-99,55.9
Jun-99,53.3
Jul-99,56.6
Aug-99,62.4
Sep-99,63.6
Oct-99,63.2
Nov-99,63.1
Dec-99,64.9
Jan-00,63.5
Feb-00,67.1
Mar-00,73.1
Apr-00,66.9
May-00,70.8
Jun-00,75.8
Jul-00,72
Aug-00,69.2
Sep-00,74.4
Oct-00,73
Nov-00,74.1
Dec-00,70
Jan-01,70.4
Feb-01,69.6
Mar-01,67.3
Apr-01,75.4
May-01,78.8
Jun-01,69.2
Jul-01,64.4
Aug-01,64.8
Sep-01,71.2
Oct-01,64.2
Nov-01,60.1
Dec-01,57.9
Jan-02,58.6
Feb-02,60.2
Mar-02,65.5
Apr-02,69.1
May-02,66.9
Jun-02,66.5
Jul-02,69
Aug-02,70.3
Sep-02,70.7
Oct-02,71.2
Nov-02,70
Dec-02,69.7
Jan-03,73.3
Feb-03,78.2
Mar-03,76.8
Apr-03,70.9
May-03,64.2
Jun-03,65.8
Jul-03,65.8
Aug-03,75.9
Sep-03,73.2
Oct-03,70.8
Nov-03,68.3
Dec-03,67.8
Jan-04,72.8
Feb-04,73.7
Mar-04,71.2
Apr-04,72.8
May-04,85.2
Jun-04,79.5
Jul-04,76.3
Aug-04,78.2
Sep-04,78.7
Oct-04,81.6
Nov-04,77.3
Dec-04,72.5
Jan-05,78
Feb-05,79
Mar-05,83.8
Apr-05,87.6
May-05,84.2
Jun-05,88.1
Jul-05,90.1
Aug-05,97.9
Sep-05,107.2
Oct-05,97.2
Nov-05,86.7
Dec-05,88.5
Jan-06,95.8
Feb-06,85.5
Mar-06,91.1
Apr-06,103
May-06,97.9
Jun-06,101.6
Jul-06,105.7
Aug-06,103.3
Sep-06,83.3
Oct-06,83.4
Nov-06,82.8
Dec-06,87.5
Jan-07,80.1
Feb-07,89.3
Mar-07,101.1
Apr-07,101.1
May-07,105.5
Jun-07,102.3
Jul-07,101
Aug-07,95.8
Sep-07,97.2
Oct-07,94.4
Nov-07,99.9
Dec-07,100.6
Jan-08,102.5
Feb-08,102.8
Mar-08,106.1
Apr-08,114
May-08,124.6
Jun-08,130.6
Jul-08,132
Aug-08,123.9
Sep-08,123.7
Oct-08,105.9
Nov-08,82.7
Dec-08,74.2
Jan-09,78.9
Feb-09,81.6
Mar-09,84.7
Apr-09,85.2
May-09,94.4
Jun-09,98.8
Jul-09,93.9
Aug-09,98.3
Sep-09,95.3
Oct-09,95.6
Nov-09,98.1
Dec-09,94.4
Jan-10,98.9
Feb-10,97.7
Mar-10,100.6
Apr-10,100.7
May-10,98.2
Jun-10,95.5
Jul-10,103.3
Aug-10,102
Sep-10,101
Oct-10,106.2
Nov-10,108.5
Dec-10,110.1
Jan-11,113.6
Feb-11,114.8
Mar-11,121
Apr-11,131
May-11,133.5
Jun-11,129.5
Jul-11,129.6
Aug-11,127.4
Sep-11,125.3
Oct-11,124.2
Nov-11,121
Dec-11,118.1
Jan-12,122.1
Feb-12,126.3
Mar-12,131.1
Apr-12,135.6
May-12,128.9
Jun-12,123.1
Jul-12,125.6
Aug-12,128.6
Sep-12,130.5
Oct-12,126.3
Nov-12,122.2
Dec-12,120.5
Jan-13,122.5
Feb-13,130.8
Mar-13,130
Apr-13,126.1
May-13,125.4
Jun-13,128.1
Jul-13,131.7
Aug-13,131.2
Sep-13,130.7
Oct-13,124.8
Nov-13,124.6
Dec-13,127.3
Jan-14,126.6
Feb-14,130.6
Mar-14,131.5
Apr-14,135
May-14,135.8
Jun-14,140.5
Jul-14,136.7
Aug-14,132
Sep-14,130.1
Oct-14,123.8
Nov-14,114.8
Dec-14,103.8
Jan-15,91
Feb-15,101.4
Mar-15,105.5
Apr-15,105.2
May-15,112.6
Jun-15,118.1
Jul-15,121
Aug-15,113
Sep-15,105.2
Oct-15,100.8
Nov-15,103
Dec-15,100.4
Jan-16,95.7
Feb-16,89.8
Mar-16,92.5
Apr-16,102.3
May-16,106.1
Jun-16,106.1
Jul-16,102.4
Aug-16,101.1
Sep-16,100.9
Oct-16,105.4
Nov-16,101.4
Dec-16,104.7
Jan-17,112.8
Feb-17,107.8
Mar-17,107.6
Apr-17,116
May-17,112
Jun-17,107.3
Jul-17,109.5
Aug-17,112.5
Sep-17,118.2
Oct-17,114.9
Nov-17,122.2
Dec-17,121
Jan-18,124.5
Feb-18,123.6
Mar-18,126.1
Apr-18,133.7
May-18,137.3
Jun-18,134.6
Jul-18,135.6
Aug-18,133.6
Sep-18,129.3
Oct-18,124
Nov-18,111.7
Dec-18,105.5
Jan-19,102.4
Feb-19,102.1
Mar-19,115.8
Apr-19,126.7
May-19,127.7
Jun-19,118.9
Jul-19,125.3
Aug-19,118.5
Sep-19,116.7
Oct-19,116.9
Nov-19,116.4
Dec-19,116
Jan-20,114.6
Feb-20,111
Mar-20,75
Apr-20,75
